prefixe;designation;description
OF;Ordinateur fixe;Categorie issue de la feuille _categories ligne 2
OP;Ordinateur portable;Categorie issue de la feuille _categories ligne 3
Ec;Ecran;Categorie issue de la feuille _categories ligne 4
SA;Station d'accueil;Categorie issue de la feuille _categories ligne 5
A;Clé USB;Categorie issue de la feuille _categories ligne 6
A;Disque dur;Categorie issue de la feuille _categories ligne 7
A;Clavier;Categorie issue de la feuille _categories ligne 8
A;Souris;Categorie issue de la feuille _categories ligne 9
A;Tablette graphique;Categorie issue de la feuille _categories ligne 10
A;Casque audio;Categorie issue de la feuille _categories ligne 11
A;Hub connectique;Categorie issue de la feuille _categories ligne 12
A;Tablette type IPad;Categorie issue de la feuille _categories ligne 13
A;Hauts parleurs type Jabra;Categorie issue de la feuille _categories ligne 14
A;Hauts parleurs type stereo;Categorie issue de la feuille _categories ligne 15
A;Webcam;Categorie issue de la feuille _categories ligne 16
A;Routeur ethernet;Categorie issue de la feuille _categories ligne 17
A;NAS;Categorie issue de la feuille _categories ligne 18
